BU,Super Category,Category,SubCategory,Vertical,Source,Description Type,Revision Date,Target
HomeAndFurniture,HomeFurnishing,HomeFurnishing,Bed,BedPillow,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeFurnishing,HomeFurnishing,Bed,BedPillowCover,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeFurnishing,HomeFurnishing,Bed,BedCurtainAccessory,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeFurnishing,HomeFurnishing,Bed,BedCurtain,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Bulb,Bulb,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Bulb,Bulb,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,OtherCandleAndHolder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,Candle,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,CandleHolder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,TealightHolder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,IncenseHolder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,OtherCandleAndHolder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,Candle,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,CandleHolder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,TealightHolder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,CandleAndHolder,IncenseHolder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,CasseroleAndSet,OtherCasseroleAndSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,CasseroleAndSet,OtherCasseroleAndSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,ChimneyAndStove,GasStove,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,ChimneyAndStove,GasStove,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,Clock,WallClock,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,Clock,TableClock,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,Clock,OtherClock,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,Clock,WallClock,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,Clock,TableClock,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,Clock,OtherClock,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cookware,OtherCookware,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cookware,CookwareSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cookware,OtherCookware,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cookware,CookwareSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,OtherCutlery,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,CutleryFork,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,CutlerySpoon,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,CutleryKnife,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,CutlerySet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,OtherCutlery,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,CutleryFork,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,CutlerySpoon,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,CutleryKnife,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,Cutlery,CutlerySet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,DinnerwareAndCrockery,Mug,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,DinnerwareAndCrockery,OtherDinnerwareAndCrockery,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,DinnerwareAndCrockery,DinnerSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,DinnerwareAndCrockery,CupAndSaucer,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,DinnerwareAndCrockery,Mug,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,DinnerwareAndCrockery,OtherDinnerwareAndCrockery,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,DinnerwareAndCrockery,DinnerSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,DinnerwareAndCrockery,CupAndSaucer,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,OtherElectrical,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,ElectricalSwitch,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,ElectricalPlug,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,ElectricalTape,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,LightSocket,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,OtherElectrical,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,ElectricalSwitch,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,ElectricalPlug,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,ElectricalTape,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,Electrical,LightSocket,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,FlaskAndThermoware,FlaskAndThermoware,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,FlaskAndThermoware,Flask,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,FlaskAndThermoware,IceBox,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,FlaskAndThermoware,ThermalCasseroleAndSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,FlaskAndThermoware,FlaskAndThermoware,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,FlaskAndThermoware,Flask,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,FlaskAndThermoware,IceBox,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,FlaskAndThermoware,ThermalCasseroleAndSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeFurnishing,HomeFurnishing,FloorCovering,CarpetRug,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeFurnishing,HomeFurnishing,FloorCovering,FloorMat,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeFurnishing,HomeFurnishing,FloorCovering,CarpetRug,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeFurnishing,HomeFurnishing,FloorCovering,FloorMat,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,FlowerAndVase,OtherFlowerAndVase,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,FlowerAndVase,ArtificialFlower,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,FlowerAndVase,ArtificialPlant,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,FlowerAndVase,OtherFlowerAndVase,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,FlowerAndVase,ArtificialFlower,Crowdsourced,SEO Project,2015-01-01,3
